Claim Text  Veracity  Category  Published Date
The NRA banned the carrying of guns from their own national convention.	False	Guns	2015-04-08
Comedian Martin Lawrence was found dead in a hotel room.	FALSE	Inboxer Rebellion	2015-04-13
Message describes the Hoyts, a father and disabled son who participate as a team in marathons.	TRUE	Glurge Gallery	2015-04-12
A KKK chapter successfully sued a black-owned bakery for refusing to make them a birthday cake.	FALSE	Media Matters	2015-04-15
Doctors have performed the first successful human head transplant.	False	Media Matters	2015-04-13
Senator Rand Paul said abortion is worse than the Holocaust because abortion victims are innocent.	FALSE	Soapbox	2015-04-12
Video shows Tampa Bay infielder Evan Longoria making an amazing bare-handed catch during an interview.	FALSE	Fauxtography	2015-04-09
A video clip shows a subsequently suppressed Fox News broadcast about Barack Obama.	False	Politicians	2014-07-14
Photograph shows a king brown snake in Australia.	FALSE	Fauxtography	2015-04-09
President Obama secretly signaled solidarity to African leaders at the White House using a Muslim hand gesture known as the ‘Shahada.’	FALSE	Politicians	2015-04-11
Photographs show a brown bear that was electrocuted when it chewed through a power line.	TRUE	Fauxtography	2015-04-08
President Harry S. Truman in 1945 described political correctness as “a doctrine fostered by a delusional, illogical minority.”	FALSE	Quotes	2015-04-08
Boxer Floyd Mayweather is giving away $2.6 million to one lucky fan on Facebook.	FALSE	Computers	2015-04-09
The U.S. constitution requires that presidential and vice-presidential candidates be from different states	FALSE	History	2015-04-08
Photographs show Nevada’s colorful Fly Geyser	TRUE	Fauxtography	2015-04-08
You must have your wisdom teeth and appendix removed in order to work in Antarctica.	FALSE	Medical	2015-04-07
Photograph shows a bobcat pulling a shark from the ocean.	TRUE	Fauxtography	2015-04-08
A commercial airline pilot who accidentally locked himself out of the cockpit had to hack down the door with a fire axe to regain entry	FALSE	Travel	2015-04-05
A woman on death row has requested a live kitten for her last meal.	FALSE	Media Matters	2015-04-08
Anti-perspirants have been identified as the leading cause of breast cancer.	FALSE	Medical	2015-04-06
The McDonald’s restaurant chain is the world’s largest purchaser of cow eyeballs.	FALSE	Food	2015-04-05
Deputy Scott Wood was shot by black convenience store robbers, and the incident was not widely reported in the national media.	TRUE	Crime	2015-04-06
A serial killer is luring women from their homes by playing a recording of a crying baby.	FALSE	Crime	2015-04-05
Cooking instant noodles along with the contents of their flavor packets turns the MSG contained therein “toxic.”	FALSE	Food	2015-04-07
Photographs show furniture and a floating automobile carved from wood.	TRUE	Fauxtography	2015-04-06
Jordan Embry is giving away thousands of dollars to people who like his Facebook page.	FALSE	Fraud & Scams	2015-04-07
A Mattel talking doll uttered the phrases ‘Islam is the light’ and ‘Satan is king.’	FALSE	Uncategorized	2015-04-04
Plastic bottle caps can be redeemed to provide chemotherapy treatments to cancer sufferers or prosthetic limbs for wounded soldiers.	FALSE	Business	2015-04-04
HIPAA Laws started because a senator wanted to cover up his wife’s plastic surgery.	FALSE	Medical	2015-04-04
President Obama had a Marine staff sergeant relieved for pointing out that his U.S. flag lapel pin was upside-down.	FALSE	Politicians	2015-04-04
FEMA is marking mailboxes with colored dots to indicate the disposition of residents in the New World Order.	FALSE	Uncategorized	2015-04-04
The design of the California state flag was based on a mistake.	True	Lost Legends	2003-06-01
The U.S. government plans to make vaccinations mandatory for all adults.	FALSE	Uncategorized	2015-04-02
Prayers are requested for Alanna, a 7-month-old Michigan girl who was badly burned in a bathtub.	TRUE	Inboxer Rebellion	2015-04-02
Actor Don Knotts once served as a drill instructor for the U.S. Marine Corps.	FALSE	Entertainment	2015-04-03
Kevin Bacon is changing his surname to appease Muslim groups.	FALSE	Media Matters	2015-04-03
The artificial sweetener Splenda was inadequately tested and is unsafe for human consumption.	FALSE	Medical	2015-04-01
A new Harvard study has shown that liberals have a lower average IQ than conservatives.	FALSE	Media Matters	2015-04-01
Photographs show a volcanic lightning storm in Chile.	TRUE	Fauxtography	2015-04-03
The Disciples of the New Dawn are a legitimate Facebook group.	FALSE	Uncategorized	2015-04-02
Passengers on an airliner diverted to Cuba thought the hijacking was a	TRUE	Entertainment	2015-04-02
The portrayal of a black character in a	TRUE	Humor	2015-04-01
Photographs show the wedding of Prince William and Kate Middleton matching up with images from ‘Cinderella.’	FALSE	Fauxtography	2015-03-31
Photograph purportedly shows Ronald McDonald being carried off by two police officers.	TRUE	Fauxtography	2015-03-31
Images show a dragon with fluffy white rabbit fur that was shot dead in Malaysia.	FALSE	Fauxtography	2015-04-01
Photograph shows an unnaturally large handprint left on the window of a missing college student’s dorm room.	FALSE	Horrors	2015-03-30
Photographs show a spider devouring a snake caught in its web.	TRUE	Fauxtography	2015-03-31
Photographs show a new species of "giant sea spider" recently discovered in the Antarctic.	False	Fauxtography	2014-05-22
Mitt Romney said Michelle Obama should be called the “First Woman,” not the “First Lady.”	FALSE	Media Matters	2015-03-30
The Indianapolis 500 has been cancelled and moved to Florida due to Indiana’s passage of the Religious Freedom Restoration Act.	FALSE	Media Matters	2015-03-30
Alex Malarkey, protagonist of the book	False	Uncategorized	2015-01-15
Musician Miles Davis made a crude remark upon meeting First Lady Nancy Reagan.	FALSE	Quotes	2015-03-27
You can recharge your cell phone using body electricity.	FALSE	Fauxtography	2015-03-27
Psychopaths can be identified by the answer they give to a one-question test.	False	Medical	2002-08-01
Actor Sylvester Stallone recently announced he “has surrendered	FALSE	Uncategorized	2015-03-29
Photograph shows an unnaturally large handprint left on the window of a missing college student’s dorm room.	FALSE	Horrors	2015-03-30
Photograph shows the first female Air Force aerial gunner.	TRUE	Fauxtography	2015-03-28
Marcus Bachmann was refused service at an Indiana dress boutique because the store owner assumed he was gay.	FALSE	Media Matters	2015-03-28
Ted Cruz is ineligible to serve as President of the United States because he was born in Canada.	FALSE	Politicians	2015-03-26
States are installing ‘point-to-point’ cameras along highways that automatically track and ticket speeders based on the amount of time it takes them to travel between two checkpoints.	FALSE	Automobiles	2015-03-25
President Obama signed an order that made Ted Cruz ineligible for Obamacare.	FALSE	Media Matters	2015-03-26
Ted Cruz said in a CPAC speech that diseases such as AIDS and cancer can be eradicated through prayer.	FALSE	Politicians	2015-03-26
Michelle Obama has demanded that all children in daycare be weighed as a part of her ongoing interest in childhood nutrition.	FALSE	Politicians	2015-03-24
Mr. Clean Magic Erasers have been banned from stores because the product contains formaldehyde.	False	Medical	2015-03-25
Rafael Cruz, father of Senator Ted Cruz, believes atheists should be separated from the devout and placed in special “camps.”	FALSE	Media Matters	2015-03-24
Photograph shows a Westboro Baptist Church sign reading ‘Ted Cruz Is Our Hero.'”	FALSE	Fauxtography	2015-03-25
A chance encounter between an autistic child and an actor resulted  in the “dueling banjos” scene in	FALSE	Entertainment	2015-03-24
Michelle Obama stated that the signers of the Declaration of Independence were not “born in America.”	FALSE	Uncategorized	2015-03-23
George Zimmerman said that it was God’s plan for him to shoot Trayon Martin.	FALSE	Media Matters	2015-03-25
The FDA has approved an ativan diffuser for use in hospitals.	FALSE	Media Matters	2015-03-23
Girl Scout-vended Thin Mint flavor cookies are made with crack.	FALSE	Food	2015-03-24
A veteran injured during the 1945 battle of Iwo Jima finally came out of his coma 69 years later.	FALSE	Media Matters	2015-03-23
Eminem is giving away $1 million, a house, and a new car to lucky Facebook fans.	FALSE	Computers	2015-03-23
The U.S. dollar will officially collapse after	FALSE	Uncategorized	2015-03-23
Photograph shows a view of a solar eclipse taken from the International Space Station.	FALSE	Fauxtography	2015-03-21
Kids are rubbing Burt's Bees lip balm on their eyelids to get high.	False	Horrors	2015-03-21
Living turtles and fish are packaged in plastic bags and sold as souvenir keyrings in China.	TRUE	Critter Country	2015-03-22
The federal Food Stamp program (SNAP) will be discontinued in March 2015.	FALSE	Media Matters	2015-03-25
Holding a smartphone incorrectly will result in a finger deformity known as “smartphone pinky.”	FALSE	Medical	2015-03-19
Hillary Clinton refused to meet with a contingent of Gold Star mothers.	FALSE	Uncategorized	2015-03-20
A 1981 Columbia University student ID card identifies Barack Obama as a foreign student named Barry Soetoro.	False	Politicians	2012-02-09
The popular Dr Pepper soft drink is made from prune juice	FALSE	Business	2015-03-20
Photograph shows a furry albino tarantula.	FALSE	Fauxtography	2015-03-21
Hillary Clinton was named after famed mountain climber Sir Edmund Hillary.	False	Politicians	2003-06-10
Spirit Airlines offers innuendo-laced promotions, including $69 fares.	TRUE	Business	2015-03-19
Studies have shown that children who are vaccinated are 85% more likely to inject heroin than those who are not.	FALSE	Media Matters	2015-03-23
Kraft Macaroni & Cheese products carry a warning label due to their use of GMO wheat.	FALSE	Food	2015-03-18
Photograph shows a “radioactive”-looking sinkhole in Philadelphia.	TRUE	Fauxtography	2015-03-19
Video shows an orangutan using sign language to ask for help in stopping the destruction of its habitat.	FALSE	Fauxtography	2015-03-19
President Obama broke precedent by declining to attend the funeral of General Harold Greene and failing to send any administration officials to the ceremony.	FALSE	Uncategorized	2015-03-19
President Obama fired several military officers for disobeying his order to destroy Charleston as part of a “false flag” attack.	FALSE	Uncategorized	2015-03-19
Photographs show weather and flight charts displaying phallic shapes.	TRUE	Fauxtography	2015-03-17
The lion used for the original MGM logo killed its trainer and his assistants.	FALSE	Entertainment	2015-03-21
The movie	FALSE	Entertainment	2015-03-18
Monica Lewinsky proclaimed she would be voting Republican because 'the Democrats left a bad taste in my mouth.'	False	Quotes	2003-06-07
The U.S. government has been microchipping babies since 1983.	FALSE	Media Matters	2015-03-18
Photographs show a hoe excavator that crashed into a highway overpass.	True	Fauxtography	2015-03-18
Sarah Palin has endorsed the Israeli prime minister for President of the United States.	FALSE	Media Matters	2015-03-18
The title of the John Steinbeck novel	FALSE	Language	2015-03-16
Drinking cold water after meals causes unpleasant and lasting side effects.	False	Medical	2006-08-23
Michael Brown’s mother posted comments on social media celebrating the shooting of two Ferguson police officers.	FALSE	Crime	2015-03-16
A veterinary pathologist testified that being immersed in a can of Mountain Dew would turn a mouse into a "jelly-like" substance.	True	Food	2014-07-22
Wedding guests should refrain from throwing rice at newly-wedded couples because the rice kills birds who eat it.	FALSE	Critter Country	2015-03-17
The father of Alexander Fleming, the discoverer of penicillin, saved a young Winston Churchill from drowning, and in gratitude Churchill’s father paid for Fleming’s education.	FALSE	Glurge Gallery	2015-03-17
A teacher imparted a lesson in the value of freedom by having veterans return her students’ desks.	TRUE	Glurge Gallery	2015-03-17
Sarah Palin endorsed Benjamin Netanyahu for President of The United States.	FALSE	Media Matters	2015-03-17
Archaeologists have discovered Pharaoh's chariot and the bones of horses and men under the Red Sea.	False	Fake News	2014-10-25
A Colorado school changed the Pledge of Allegiance, replacing “one nation under God” with “one nation under Allah.”	FALSE	Uncategorized	2015-03-19
Map shows how to “drive across the USA hitting all the major landmarks.”	FALSE	Travel	2015-03-16
Map shows an optimal route for driving across the USA and hitting major landmarks in every state.	TRUE	Travel	2015-03-17
Photographs show an angry elephant overturning an automobile in a game reserve.	TRUE	Fauxtography	2015-03-15
School photograph shows a boy segregated from his class because he is Jewish.	FALSE	Fauxtography	2015-03-16
Responding to pressure from religious groups, Alabama’s state legislature redefined the value of pi from	FALSE	Media Matters	2015-03-16
Pope Francis has declared that fornication is no longer a sin.	FALSE	Media Matters	2015-03-14
Children’s television show host Fred Rogers hid a violent and criminal past.	False	Entertainment	2007-06-29
Massachusetts offers a “Silent 911 Call” procedure for those who cannot speak openly to emergency dispatchers.	TRUE	Crime	2015-03-14
Any car equipped with a remote keyless entry system can be unlocked via cell phone.	FALSE	Automobiles	2015-03-14
The Israelis have developed an airport scanner alternative: a booth that detonates any explosive device a passenger is carrying.	FALSE	Crime	2015-03-12
Tiger Woods named his restaurant “The Woods Jupiter” because Nike legally owns the rights to his name.	FALSE	Business	2015-03-13
Doctors have confirmed that consumption of genetically modified tomatoes killed a man.	FALSE	Media Matters	2015-03-13
Photographs show the new Cook County Correctional Center prison facility in Chicago, Illinois.	FALSE	Fauxtography	2015-03-12
Photograph shows a frog in a jar of pickles.	FALSE	Fauxtography	2015-03-14
Photographs show a bizarre-looking baby born in Nepal.	TRUE	Fauxtography	2015-03-12
The Dick Act passed in 1903 "invalidates all gun control laws" in the U.S.	False	Guns	2013-02-02
Photographs show the 'parrot plant,' a plant whose flowers resemble a parrot in flight.	True	Fauxtography	2009-06-03
Chick-fil-A provided free food to motorists stranded during a blizzard in Birmingham, Alabama.	TRUE	Business	2015-03-12
Sarah Palin said that abolishing slavery enabled President Obama’s election and worried that immigration reform would lead to a Hispanic president.	FALSE	Media Matters	2015-03-12
Photograph shows a tornado sucking up a rainbow.	FALSE	Fauxtography	2015-03-10
A golfer angered by a bad shot was killed by the club he threw in frustration.	TRUE	Horrors	2015-03-14
The skeleton of a giant human was uncovered during gas exploration in Saudi Arabia.	False	Viral Phenomena	2004-06-21
Musician Ringo Starr admitted that Paul McCartney passed away in 1966 and was replaced by a lookalike.	FALSE	Media Matters	2015-03-09
An Atlanta Motel 6 outlet turned away a U.S. Army soldier because he was underage.	True	Uncategorized	2014-03-31
George Zimmerman was arrested while visiting Ferguson, Missouri.	FALSE	Media Matters	2015-03-09
Dr. Arieh Eldad wrote about a burn center patient turned suicide bomber.	TRUE	Uncategorized	2015-03-10
Barack and Michelle Obama surrendered their law licenses to avoid pending disciplinary actions.	False	Politicians	2010-04-08
The abbreviation “LOL” means “Lucifer Our Lord” and is used in prayer by Satanists.	FALSE	Inboxer Rebellion	2015-03-10
Photograph shows a woodpecker with a weasel on its back.	TRUE	Fauxtography	2015-03-08
An ISIS jihadist converted to Christianity after being left for dead and rescued by Christian missionaries.	FALSE	Media Matters	2015-03-09
White House adviser Valerie Jarrett once said she seeks "to help change America to be a more Islamic country."	False	Quotes	2015-02-10
12-year-old CJ Pearson was suspended from Facebook because he criticized President Obama.	FALSE	Computers	2015-03-07
Photograph shows a store’s express lane sign that illustrates the item limit with ‘this many’ fingers.	FALSE	Fauxtography	2015-03-09
Mattel has released a burka Barbie doll for the toy’s 50th anniversary.	FALSE	Media Matters	2015-03-12
The 1979 Boomtown Rats song "I Don't Like Mondays" was inspired by a deadly shooting at a school.	True	Entertainment	2002-03-27
Photograph depicts an admissions rejection letter sent by Harvard College.	FALSE	Fauxtography	2015-03-05
Nabisco has announced they will be producing Fried Chicken Oreos.	FALSE	Fauxtography	2015-03-05
General Motors is resurrecting the Pontiac Firebird Trans Am for 2015.	FALSE	Business	2015-03-05
KFC has obtained a license to start selling marijuana in their Colorado restaurants.	FALSE	Media Matters	2015-03-05
An Oregon school punished a young child for tardiness by placing him behind a cardboard barrier at lunchtime.	TRUE	Fauxtography	2015-03-01
Korean McDonald’s locations sell a burger made from dog meat.	FALSE	Media Matters	2015-03-05
Ted Nugent said that Native Americans should “go back where they came from.”	FALSE	Media Matters	2015-03-05
The brother of a top ISIS leader has repented and converted to Christianity.	FALSE	Media Matters	2015-03-12
Instagram has banned posting of the phrase “I am a born-again follower of Jesus Christ.”	FALSE	Uncategorized	2015-03-01
First Lady Michelle Obama proposed a “Hug A Muslim” day to replace Columbus Day.	FALSE	Media Matters	2015-03-02
Rapper Kanye West said he is a “proud non-reader of books.”	TRUE	Soapbox	2015-03-01
Dell Hospital will donate 15¢ towards  the care of Maria, a raped child, every time a particular text message is forwarded.	FALSE	Inboxer Rebellion	2015-03-03
An unusually high percentage of the child actors who starred in the	FALSE	Entertainment	2015-03-03
Circulating photo set accurately compares school lunches from other countries with American offerings that are paltry due to the interference of Michelle Obama.	FALSE	Fauxtography	2015-02-27
In 2007 a man from Sweden received disability payments for his for his addiction to heavy metal music.	TRUE	Medical	2015-02-27
Mothers with tattoos risk passing “Fetal Ink Syndrome” on to their children.	FALSE	Media Matters	2015-03-01
	FALSE	Media Matters	2015-02-28
New York City pedestrians ignored a freezing, homeless child for two hours.	FALSE	Fauxtography	2015-03-01
Amateur scuba divers discovered a long-lost nuclear warhead off the coast of Georgia.	FALSE	Media Matters	2015-03-01
Photograph shows a 280-pound catfish caught by an Italian fisherman.	TRUE	Fauxtography	2015-02-27
Substituting Diet Coke for regular Coca-Cola in a popular ham recipe can cause an explosion.	FALSE	Cokelore	2015-02-25
Singer Beyoncé Knowles was killed in a car crash.	False	Inboxer Rebellion	2015-02-27
A photograph from the 1940s shows an obviously out-of-place, time-traveling hipster.	False	Fauxtography	2015-02-23
Singer Mark McGrath was shot and killed by a masked gunman on the set of	FALSE	Inboxer Rebellion	2015-02-27
A Catholic priest said that he met God and found God is a woman.	FALSE	Media Matters	2015-02-24
A virus is circulating with the name "Black in the White House" (aka "Black Muslim in the White House").	False	Computers	2010-08-04
An 1875 report by the Horseless Carriage Committee warned about the dangers of gasoline-fueled vehicles.	FALSE	History	2015-02-24
The Michigan Department of Natural Resources has issued a warning about polar bears romaing that state from Canada.	FALSE	Critter Country	2015-02-24
President Obama and Hillary Clinton were criminally charged by Egyptian courts with aiding and abetting terrorists.	FALSE	War/Anti-War	2015-02-25
Actor Jamie Dornan has announced he will not appear in any	FALSE	Uncategorized	2015-02-25
The Wendy’s fast food restaurant chain uses rat and horse meat to make their chili.	FALSE	Media Matters	2015-02-19
Oregon has become the first state to legalize the street drug Molly.	FALSE	Media Matters	2015-02-21
The application of flour is an effective and recommended treatment for burns.	FALSE	Medical	2015-02-21
	FALSE	Media Matters	2015-02-19
Photograph shows Condoleezza Rice posing with Osama bin Laden.	FALSE	Fauxtography	2015-02-19
The IRS contacts taxpayers by phone to demand that overdue taxes be settled via prepaid debit card or wire transfers.	FALSE	Crime	2015-02-20
	FALSE	Soapbox	2015-02-21
George Washington told of an angel who revealed a prophetic vision of America to him at Valley Forge.	False	History	2002-05-14
A British Krispy Kreme outlet created a “KKK Wednesday” promotion, for their “Krispy Kreme Klub”.	TRUE	Business	2015-02-17
Porn star Sasha Grey was killed by Ukranian military forces.	FALSE	Inboxer Rebellion	2015-02-21
Video clip shows martial arts star Bruce Lee playing ping-pong using nunchaku.	FALSE	Fauxtography	2015-02-18
Celebrity chef Guy Fieri has passed away at the age of 47.	FALSE	Media Matters	2015-02-18
Episodes of some syndicated TV series are sped up to fit more commercials into their time slots.	TRUE	Entertainment	2015-02-18
Muslims in the U.S. are specifically exempted from legislative requirements to purchase health insurance.	False	Medical	2010-04-13
An Ohio Walmart store has begun selling halal meat.	True	Uncategorized	2015-02-19
Photograph shows a can of garlic-flavored Coca-Cola being test-marketed in Romania.	FALSE	Fauxtography	2015-02-16
Late-night TV host David Letterman delivered a “Top Ten Reasons to Vote Democrat” segment.	FALSE	Quotes	2015-02-14
Jack Benny arranged to have a single red rose sent to his wife every day after he was gone.	TRUE	Glurge Gallery	2015-02-15
South Carolina state Senator Thomas Corbin told a colleague at a dinner function women are a “lesser cut of meat.”	TRUE	Quotes	2015-02-16
The death of an infant in an automobile accident led to the invention of ‘Baby on Board’ signs.	False	Horrors	2015-02-13
The Japanese prime minister made an embarrassing verbal gaffe upon meeting U.S. president Barack Obama.	FALSE	Humor	2015-02-13
A graphic image depicts a grieving father with the body of his daughter after she put a phone charger in her mouth and was electrocuted.	FALSE	Fauxtography	2015-02-13
The reality TV series	FALSE	Crime	2015-02-13
Vanna White was fired from her hostess role on 'Wheel of Fortune' due to her compulsive roulette playing.	False	Media Matters	2015-02-11
Marines in training must murder a pet or a family member to be admitted to the Corps.	FALSE	Uncategorized	2015-02-14
Maraschino cherries are produced using a toxic dye that has been banned for human consumption.	FALSE	Food	2015-02-13
The UK hardware store B&Q warned its staff about a surge in rope, duct tape, and tie down sales before the release of the	FALSE	Business	2015-02-13
The fashion of sagging one’s pants was born of a prison mode of signaling sexual availability.	FALSE	Risqué Business	2015-02-12
Your online service is overloaded and is about to cancel the accounts of users who don’t forward or repost a particular message:	FALSE	Computers	2015-02-11
Abraham Lincoln authored a list of maxims beginning with 'You cannot bring about prosperity by discouraging thrift.'"	False	Questionable Quotes	2009-08-19
Shortly before he died in a car crash, James Dean advised young motorists to ‘Take it easy driving — the life you might save might be mine.'”	TRUE	Entertainment	2015-02-13
One year of human time is the equivalent of seven years in a dog’s age.	FALSE	Critter Country	2015-02-12
The Obama administration has ordered	False	Conspiracy Theories	2015-02-10
Image shows an “Ode to the Welfare State” published in a 1949 newspaper.	TRUE	Fauxtography	2015-02-10
Photographs show a suspect who was decapitated by a wrought-iron fence while fleeing from police.	True	Fauxtography	2003-03-03
A 'Newlywed Game' contestant said the weirdest place she'd ever "made whoopee" was "up the butt."	True	Entertainment	2002-10-12
The viral quote “If a writer falls in love with you, you can never die” was written by Canadian rapper Drake.	FALSE	Quotes	2015-02-11
Doctors discovered that a pregnant woman’s unborn daughter was also pregnant.	FALSE	Media Matters	2015-02-10
McDonald's buys their meat from a company called '100% Beef,' which allows them to legally but deceptively claim they use 100% beef in their hamburgers.	False	Business	2011-01-24
Orthodox jews engage in marital relations through a hole in a sheet.	FALSE	Uncategorized	2015-02-09
	FALSE	Media Matters	2015-02-09
Atheists are petitioning the FCC to get religious broadcasting banned from American airwaves.	FALSE	Politics	2015-02-09
The State of Idaho passed a resolution commending Jared and Jerusha Hess for the production of their film	True	Entertainment	2015-02-10
One of the women in the James Bond film	True	Entertainment	2015-02-10
You can win a free car by liking or sharing a post.	False	Computers	2015-02-01
A broadcast by Houston’s KLEE-TV was received by viewers in England three years after the station had gone off the air.	FALSE	Entertainment	2015-02-10
A damaged saguaro cactus fell onto the man who had harmed it and killed him.	TRUE	Horrors	2015-02-08
Rumor: A nuclear bomb was detonated in Ukraine in February 2015.	FALSE	War/Anti-War	2015-02-10
Photograph shows a rare black lion.	FALSE	Fauxtography	2015-02-08
The California Department of Public Health has issued a warning against measles parties.	FALSE	Medical	2015-02-10
Sarah Palin said vaccinations were linked to homosexuality.	FALSE	Media Matters	2015-02-09
Video clip shows a	FALSE	Fauxtography	2015-02-06
Mike Huckabee created a handy guide to identifying a secret homosexual handshake.	False	Fake News	2015-02-04
Photographs show a coyote that survived an eight-hour trip wedged behind a car bumper.	TRUE	Fauxtography	2015-02-06
Ronald Reagan was the original choice to play the lead role in the 1942 film	FALSE	Entertainment	2015-02-07
Madmen are injecting HIV-infected blood into unsuspecting moviegoers and random young people dancing in bars or at raves.	FALSE	Horrors	2015-02-06
Warner Bros. threatened to sue the Marx Brothers over the title of the comedy group’s 1946 film	FALSE	Entertainment	2015-02-07
Photograph shows a blue Japanese fruit known as “moon melon.”	FALSE	Fauxtography	2015-02-06
A Houston man was sentenced to jail for paying too much child support for his son.	FALSE	Crime	2015-02-05
A Newfoundland diver snapped an underwater photograph of an enormous iceberg.	FALSE	Fauxtography	2015-02-06
Kanye West has been banned from all future award shows.	FALSE	Media Matters	2015-02-11
A TSA screener in Denver was caught masturbating to images of airline travelers displayed on a body scanner.	FALSE	Uncategorized	2015-02-05
Actor Matthew McConaughey co-owns a cattle ranch in Texas that offers canned deer hunts.	TRUE	Guns	2015-02-05
A federal judge has barred black women from choosing their children’s names.	FALSE	Media Matters	2015-02-06
Photograph shows a “redneck mansion” composed of several linked trailers.	FALSE	Fauxtography	2015-02-03
Data suppressed by the CDC proved that the MMR vaccine produces a 340% increased risk of autism in African-American boys.	FALSE	Medical	2015-02-03
A Madden NFL 2015 simulation correctly predicted the winner and final score of the 2015 Super Bowl.	TRUE	Sports	2015-02-03
Patient zero for the 2014-2015 measles outbreak was found to be an already-vaccinated child or illegal immigrant.	FALSE	Medical	2015-02-03
In 1988 author Roald Dahl penned an open letter urging parents to have their children vaccinated against measles.	True	Quotes	2015-02-03
Photograph shows a long-exposure shot of lightning striking a tree.	FALSE	Fauxtography	2015-02-04
Photographs show a series of frighteningly emaciated models.	FALSE	Fauxtography	2015-01-31
The FBI is investigating the possible rigging of the 2014 Super Bowl.	FALSE	Uncategorized	2015-02-02
	FALSE	Fauxtography	2015-02-03
Photographs show a townhouse filled 70,000 discarded beer cans and boxes.	TRUE	Fauxtography	2015-02-02
Photographs show a pair of black and white fraternal twin girls.	TRUE	Fauxtography	2015-02-02
Photographs show a variety of cats adorned with $15,000 paint jobs.	FALSE	Fauxtography	2015-02-03
Photograph shows fingers damaged from too much mouse and keyboard use.	FALSE	Fauxtography	2015-02-02
Cell phone calls from particular phone numbers can cause brain hemorrhage and death.	FALSE	Horrors	2015-02-02
The average person needs to drink eight glasses of water per day to avoid being “chronically dehydrated.”	FALSE	Medical	2015-01-29
A Saudi television station blurred out Michelle Obama’s face during a news broadcast.	False	Fauxtography	2015-01-29
A man divorced his wife after he examined a photograph of her and spotted a man hiding under her bed.	False	Fauxtography	2015-01-30
A 1942 Merrie Melodies cartoon includes a glimpse of Bug Bunny’s phallus.	FALSE	Fauxtography	2015-02-06
George Clooney has an open tab at Chipotle that anyone can use to get a free burrito.	FALSE	Media Matters	2015-01-29
Storing a car battery on a concrete floor will drain the battery and ruin it.	FALSE	Automobiles	2015-01-30
Article describes coverage of the death of Medal of Honor recipient Ed Freeman.	TRUE	Uncategorized	2015-01-30
A photograph snapped by the Curiosity robotic rover captured a human shadow on the surface of Mars.	FALSE	Fauxtography	2015-01-28
Law enforcement's search for a prolific counterfeiter of one-dollar bills lasted ten years.	True	Business	2010-04-10
Account describes Navy SEALs’ funereal tribute to Medal of Honor recipient Mike Monsoor.	TRUE	Uncategorized	2015-01-28
British street artist Banksy was arrested by London police and publicly identified.	False	Media Matters	2017-09-19
A movement is underway to change the Bible by removing all references to Israel and claiming Jesus was not a Jew but a Palestinian.	FALSE	Uncategorized	2015-01-28
A television show captured video of men who were tricked into catcalling their own mothers.	FALSE	Fauxtography	2015-01-28
Facebook will be closed for maintenance on Feb. 29, 30, and 31.	FALSE	Computers	2015-01-28
Actor Gene Hackman has passed away at the age of 85.	FALSE	Inboxer Rebellion	2015-01-29
Instant cake mixes sold poorly until one food company decided to require the addition of a fresh egg to their product.	FALSE	Business	2015-01-27
A banned commercial for Sprite soft drink features a suggestive sex act.	FALSE	Fauxtography	2015-01-27
Eating carrots results in significantly improved vision.	FALSE	Food	2015-01-24
Photographs show a collection of snowrollers formed in Idaho.	TRUE	Fauxtography	2015-01-27
Photographs show a desert memorial constructed to honor the victims of UTA Flight 772.	TRUE	Fauxtography	2015-01-24
Thomas Edison said that “The doctor of the future will give no medicine but will interest his patients in the care of the human frame, in diet and in the cause and prevention of disease.”	TRUE	Uncategorized	2015-01-25
Kanye West proclaimed: “I am the next Nelson Mandela.”	FALSE	Uncategorized	2015-01-25
Cats have been gravely injured or killed after seeking warmth by hiding in wheel wells or under cars.	True	Critter Country	2015-01-26
President Obama said during a 2012 speech the "future must not belong to those who slander the prophet of Islam."	True	Politicians	2015-01-07
A Crayola crayon can be used as a candle in an emergency.	TRUE	Inboxer Rebellion	2015-01-27
Photograph shows Sarah Palin posing with a “Fuc_ You Michael Moore” poster.	TRUE	Fauxtography	2015-01-25
Zero Population Growth terrorists are boobytrapping men’s toilers with razors.	FALSE	Horrors	2015-01-22
Photographs show President Obama using teleprompters to talk to a group of elementary school students.	FALSE	Politicians	2015-01-23
NASA cut a live video stream from the International Space Station just as a UFO appeared on the horizon.	FALSE	Fauxtography	2015-01-23
A photograph shows an STD-related infection known as 'blue waffle disease.'	False	Risqué Business	2013-04-01
Image reproduces women’s housekeeping and grooming instructions from a 1949 Singer sewing manual.	TRUE	History	2015-01-23
Marco Polo said: “The militant Muslim is the person who beheads the infidel, while the moderate Muslim holds the feet of the victim.”	FALSE	Quotes	2015-01-24
70% of Americans are afflicted with a ‘vampire fungus’ that causes a number of chronic illnesses.	FALSE	Medical	2015-01-22
At an awards ceremony in 2005, Clint Eastwood threatened to “kill” Michael Moore.	TRUE	Quotes	2015-01-22
Tyson Foods has dropped Labor Day as a holiday in favor of the Muslim celebration of Eid al-Fitr.	False	Uncategorized	2008-08-04
The Fox News Channel won a 2004 court case allowing the cable channel to lie to viewers.	False	Business	2014-10-02
Photograph shows a combined above-water and underwater group selfie.	FALSE	Fauxtography	2015-01-21
The CDC has recommended mothers stop breastfeeding in order to increase the efficacy of vaccines.	False	Medical	2015-01-21
